# Engineering Exam Flashcards - Anki Import Format,,
# Front,Back,Tags
"For a geothermal project, the temperature increases from 20Â°C at the surface of the earth to 90Â°C at a depth of 2 km below the ground. Assuming a linear temperature gradient, the underground temperature at 3800 m below the ground surface is most nearly<br><br>[latex]A[/latex]<br><br>113Â°C<br><br>[latex]B[/latex]<br><br>133Â°C<br><br>[latex]C[/latex]<br><br>153Â°C<br><br>[latex]D[/latex]<br><br>173Â°C","Geothermal energy is generated when water comes into contact with heated underground rocks. The heat turns the water into a steam which can be used to generate power. In this problem, the thermal gradient, <em>m</em>, is constant because the thermal variation along the depth is linear. Calculate the slope, <em>m</em>.<br><img src=""images/000648.png""> <br>Use the point-slope form of the straight-line equation.<br><img src=""images/000366.png"">  <img src=""images/000404.png"">  <br>Therefore, the temperature at a depth of 3800 m can be determined as<br><img src=""images/000432.png""> <br>***The answer is [latex]C[/latex].***",ME_Exam;Problem_0
"A particle moves along a line so that its position at time <em>t</em> is<br><img src=""images/000795.png"">  <br>The velocity at <em>t</em> = 2.5 s is most nearly<br><br>[latex]A[/latex]<br><br>0.78<br><br>[latex]B[/latex]<br><br>0.84<br><br>[latex]C[/latex]<br><br>0.92<br><br>[latex]D[/latex]<br><br>2.1","The velocity, v, is defined as the distance travelled per unit time.<br><img src=""images/000534.png"">  <br>Use the *NCEES Handbook*, Mathematics: Derivatives section. Use the quotient rule.<br><img src=""images/000359.png""> <br>Let <em>u</em> = <em>t</em>2 \+ 1 and v = <em>t</em> \+ 1.<br><img src=""images/000165.png""> <br>Substitute these values into the velocity equation.<br><img src=""images/000313.png""> <br>For <em>t</em> = 2.5 s, find the velocity.<br><img src=""images/000768.png"">  <br>***The answer is [latex]B[/latex].***",ME_Exam;Problem_1
"A differential equation is given.<br><img src=""images/000568.png""> <br>Its general solution is<br><br>[latex]A[/latex]<br><br><em>y</em> = <em>C</em>1<em>e</em>âˆ’2<em>x</em> \+ <em>C</em>2<em>e</em>âˆ’<em>x</em><br><br>[latex]B[/latex]<br><br><em>y</em> = <em>C</em>1<em>e</em>2<em>x</em> \+ C2<em>e</em><em>x</em><br><br>[latex]C[/latex]<br><br><em>y</em> = <em>C</em>1<em>e</em><em>i</em>2<em>x</em> \+ <em>C</em>2<em>e</em><em>ix</em><br><br>[latex]D[/latex]<br><br><em>y</em> = <em>e</em><em>x</em> [latex]3 cos <em>x</em> \+ 2 sin <em>x</em>[/latex]","The equation is a second-order linear homogeneous differential equation with constant real coefficients.<br><br>For the form <em>y</em>â€²â€² \+ <em>ay</em>â€² \+ <em>b</em> = 0, the general solution is<br><img src=""images/000405.png"">  <br>Substituting this solution in the equation gives<br><img src=""images/000647.png""> <br>The roots are <em>r</em>1 = âˆ’2 and <em>r</em>2 = âˆ’1.<br><br>Since the roots are real, the solution is of the form<br><img src=""images/000462.png""> <br>Substituting the values of <em>r</em>1 and <em>r</em>2, the solution is<br><img src=""images/000298.png"">  <br>***The answer is [latex]A[/latex].***",ME_Exam;Problem_2
"Two matrices are given.<br><img src=""images/000511.png""> <br>Matrices <em>A</em> and <em>B</em> are multiplied to obtain a product matrix <em>C</em>. Which statement about the matrix multiplication is true?<br><br>[latex]A[/latex]<br><br>The product matrix <em>C</em> will have two rows and three columns.<br><br>[latex]B[/latex]<br><br>The product matrix <em>C</em> will have three rows and two columns.<br><br>[latex]C[/latex]<br><br>The product matrix <em>C</em> will have three rows and three columns.<br><br>[latex]D[/latex]<br><br>The multiplication is not possible since the matrices <em>A</em> and <em>B</em> do not have the same number of rows and columns.","To multiply two matrices, the number of columns in the first matrix should equal the number of rows in the second matrix. In this case, the condition is satisfied because matrix <em>A</em> has two columns and matrix <em>B</em> has two rows. Therefore, the multiplication of matrices <em>A</em> and <em>B</em> is possible. Option D is incorrect. The product matrix will have as many rows as the first matrix and as many columns as the second matrix. Therefore, the product matrix <em>C</em> will have three rows and three columns.<br><br>***The answer is [latex]C[/latex].***",ME_Exam;Problem_3
"Consider the equation <em>x</em>7 âˆ’ 100 = 0. The zeroth root equals 2. Using Newtonâ€™s method of root extraction, what is most nearly the value of <em>x</em> after the second iteration? <br><br>[latex]A[/latex]<br><br>0.1429<br><br>[latex]B[/latex]<br><br>1.9307<br><br>[latex]C[/latex]<br><br>1.9308<br><br>[latex]D[/latex]<br><br>1.9375","See the *NCEES Handbook*, Mathematics section, for Newtonâ€™s method of root extraction. The equation can be simplified as<br><img src=""images/000057.png""> <br>The initial estimated root value, <em>a</em>0 = 2, is near enough to the actual root that the algorithm would converge.<br><br>**stepÂ 1: **<br><br>Find the derivative of the function.<br><img src=""images/000322.png""> <br>The zero root is given as<br><img src=""images/000443.png""><br><br>**stepÂ 2: **<br><br>Use the zeroth root value and determine the first root.<br><img src=""images/000305.png""><br><br>**stepÂ 3: **<br><br>Use the first root value and determine the second root.<br><img src=""images/000598.png""><br><br>***The answer is [latex]C[/latex].***",ME_Exam;Problem_4
Consider the following program segment.<br>     10 INPUT A  20 B= 1  30 ITER=1  40 ITER=ITER \+ 1  50 C=0.5\*[latex]B\+A/B[/latex]  60 B=C  70 GOTO 40   80 END <br>What is the programing error in the algorithm?<br><br>[latex]A[/latex]<br><br>division by zero<br><br>[latex]B[/latex]<br><br>endless loop<br><br>[latex]C[/latex]<br><br>missing print statement<br><br>[latex]D[/latex]<br><br>both endless loop and missing print statement,The algorithm has an endless loop. It keeps on iterating or looping; it never reaches the END statement. The missing print statement is not considered an error.<br><br>***The answer is [latex]B[/latex].***,ME_Exam;Problem_5
"What is the differential âˆ‚*z/*âˆ‚<em>s</em> for *z = xy* where *x = s2 \+ t2* and *y = s/t*?<br><br>[latex]A[/latex]<br><br><img src=""images/000510.png""><br><br>[latex]B[/latex]<br><br><img src=""images/000748.png""><br><br>[latex]C[/latex]<br><br><img src=""images/000755.png""><br><br>[latex]D[/latex]<br><br><img src=""images/000008.png"">","Use the *NCEES Handbook*, Mathematics: Partial Derivative section. Use the differential chain rule to determine the differential.<br><img src=""images/000358.png"">  <br>***The answer is [latex]A[/latex].***",ME_Exam;Problem_6
"An integral is shown.<br><img src=""images/000003.png""> <br>What is the value of the integral?<br><br>[latex]A[/latex]<br><br>âˆ’21<br><br>[latex]B[/latex]<br><br>âˆ’7<br><br>[latex]C[/latex]<br><br>7<br><br>[latex]D[/latex]<br><br>21","Calculate the value of the integral.<br><img src=""images/000089.png""> <br>***The answer is [latex]A[/latex].***",ME_Exam;Problem_7
"A crew of 5 workers is selected from a group of 8 male and 12 female workers. If the crew is made up of 1 man and 4 women, the number of ways the crew can be formed is<br><br>[latex]A[/latex]<br><br>3960<br><br>[latex]B[/latex]<br><br>11,900<br><br>[latex]C[/latex]<br><br>15,500<br><br>[latex]D[/latex]<br><br>95,000","The order in which workers are combined in a crew is not considered in group formation. The combination of <em>n</em> objects taken <em>r</em> at a time is expressed as<br><img src=""images/000024.png""> <br>In this case one man is selected from 8 men, and 4 women are selected from 12 women. Thus, the number of combinations is<br><img src=""images/000438.png""> <br>***The answer is [latex]A[/latex].***",ME_Exam;Problem_8
"Four concrete specimens are tested. Their strengths are 4450 psi, 4675 psi, 4898 psi, and 4120 psi. The sample standard deviation is most nearly<br><br>[latex]A[/latex]<br><br>290 psi<br><br>[latex]B[/latex]<br><br>330 psi<br><br>[latex]C[/latex]<br><br>83,000 psi<br><br>[latex]D[/latex]<br><br>110,000 psi","Calculate the mean of the strengths.<br><img src=""images/000203.png""> <br>The sample variance, <em>s</em>2, is calculated as<br><img src=""images/000406.png"">  <br>Determine the simple standard deviation.<br><img src=""images/000223.png""> <br>***The answer is [latex]B[/latex].***",ME_Exam;Problem_9
