"The equation of a line passing through points $1, 2$ and $5, 0$ is

$A$

2<em>y</em> \+ <em>x</em> = 5

$B$

<em>y</em> \+ 2<em>x</em> = 5

$C$

<em>y</em> \+ 3<em>x</em> = 5

$D$

3<em>y</em> \+ <em>x</em> = 5","See the *NCEES Handbook*, Mathematics section. The general equation of a straight line is
  
The slope, <em>m</em>, of a line passing through points $<em>x</em>1, <em>y</em>1$ and $<em>x</em>2, <em>y</em>2$ is
 
For the two given points, the slope is
  
It can be represented graphically as
  
Use the slope and one of the original points to calculate the standard form of the line.
 
The standard form of the line passing through the points $1, 2$ and $5, 0$ is
  
***The answer is $A$.***","ME_Exam,Problem_0",,000750.png,,
"Line <em>y</em> = 2<em>x</em> is rotated about the <em>y</em>-axis. The volume of the resulting solid between <em>y</em> = 0 and <em>y</em> = 10 is most nearly

$A$

50*π*/3

$B$

100*π*/3

$C$

150*π*/3

$D$

250*π*/3","The line represented by the equation is shown.
  
The rotation of the line about its <em>y</em>-axis generates a conical shape. The area of the circle at the top of the conical shape at a given <em>x</em> is
 
The volume of a slice of thickness <em>dy</em> is
  
The volume between <em>y</em> = 0 and <em>y</em> = 10 is
  
Shortcut: The solution can be arrived at by using the cone volume formula given in the Mensuration of Areas and Volumes section of the *NCEES Handbook*.

***The answer is $D$.***","ME_Exam,Problem_1",,000351.png,,
"A differential equation, and its boundary conditions are
 
The general solution to the equation is

$A$

<em>e</em>−3<em>t</em>

$B$

<em>e</em>3<em>t</em>

$C$

3<em>e</em><em>t</em>

$D$

<em>e</em><em>i</em>3<em>t</em>","The equation is a first-order linear homogeneous differential equation with constant real coefficients. For the form <em>y</em> ′ \+ <em>ay</em> = 0, the general solution is <em>y</em> = <em>Ce</em>−<em>at</em>. Here, <em>a</em> = 3, so <em>y</em> = <em>Ce</em>−3<em>t</em>.

The constant <em>C</em> must satisfy the boundary condition. Substitute <em>y</em>$0$ = 1 into the general solution.
  
Therefore, <em>C</em> = 1, and <em>y</em> = <em>e</em>−3<em>t</em>.

***The answer is A.***","ME_Exam,Problem_2",000548.png,000712.png,,
"The area of a parallelogram bounded by vectors from the origin to points $0, 5$ and $4, 5$ is

$A$

12.5

$B$

16.0

$C$

20.0

$D$

25.0","See the *NCEES Handbook*, Mathematics section. The parallelogram can be drawn as
  
The two vectors are
 
The rule: The magnitude of determinant is the area of parallelogram, with vectors arranged in columns. For two given vectors, the area of the parallelogram is
 
***The answer is $C$.***","ME_Exam,Problem_3",,000781.png,,
"The following series equation is used to approximate the value of sin <em>x</em>, where <em>x</em> is an angle.

The value of a 30° angle is approximated using the equation. The nearest maximum error rounded to six decimal places is

$A$

2×10−6

$B$

4×10−6

$C$

8×10−6

$D$

1×10−7","See the *NCEES Handbook*, Mathematics section, for definition of a Taylor series. In a Taylor series, the function <em>f</em>$<em>x</em>$ is expanded about the point <em>a</em> and expressed as
 
If the value of <em>a</em> is zero, then the Taylor’s series expansion is called a Maclaurin’s series and is expressed as
 
The angle is
 
The equation in the problem statement is an alternating series of Maclaurin’s equation. For alternating series, the rule is that the error in approximating the function cannot be more than the first neglected term in the series. In this problem, the neglected term is –<em>x</em>7/7\!.

Determine the maximum error as
 
***The answer is $A$.***","ME_Exam,Problem_4",000120.png,000597.png,,
"Consider the following program segment.
     10 INPUT A  20 B = 1  30 ITER = 1  40 ITER = ITER \+ 1  50 C = 0.5\*$B \+ A/B$  60 B = C  70 GOTO 40  80 END  
For A = 100 and ITER = 4, the value of C is most nearly

$A$

10.00

$B$

10.15

$C$

10.81

$D$

14.92","The values of C at each iteration level are shown.
     ITER C = 0.5\*$B \+ A/B$  1 = 0.5$1 \+ 100/1$ = 50   2 = 0.5$50 \+ 100/50$ = 26  3 = 0.5$26 \+ 100/26$ = 14.92  4 = 0.5$14.92 \+ 100/14.92$ = 10.81  5 = 0.5$10.81 \+ 100/10.81$ = 10.03  6 = 0.5$10.03 \+ 100/10.03$ = 10.00  
The algorithm is used to determine the square root of any number without using a square root function. The square root of 100 is 10, which is reached in six iterations. The problem asks for the value of C when at ITER = 4, which is 10.81.

***The answer is $C$.***","ME_Exam,Problem_5",,,,
"A matrix is shown.
 
The determinant of the matrix is most nearly

$A$

−7

$B$

10

$C$

17

$D$

24","Expansion by minors is used to find the value of a determinant. Using the *NCEES Handbook* notations, calculate the value of a third-order determinant by expanding the determinant.
 
Use the above equation to calculate the determinant of the given matrix.
  
***The answer is $C$.***","ME_Exam,Problem_6",000049.png,000682.png,,
"Consider the following expression.
  
The value of this expression is

$A$

1/3

$B$

1/9

$C$

1/27

$D$

indeterminate","As the value of <em>x</em> approaches 27, both the numerator and denominator become zero, which yields the 0/0 form of an indeterminate answer. Use L’Hopital’s rule and differentiate the expression.

Use the rule
 
The first differentiation of the expression is
 
***The answer is $C$.***","ME_Exam,Problem_7",000121.png,000653.png,,
"The three-number combination to open a safe is unknown. The lock keypad shows numbers from 0 to 9. The number of possible selections to open the combination lock is(hint:permutations)

$A$

9

$B$

81

$C$

729

$D$

1000","In this problem, the order matters. For example, if the required combination to the safe is 123, then 321, 213, and so on, would not work. There are 10 numbers $0 to 9$ to select from for each required number. For <em>n</em> = 10 and <em>r</em> = 1, use the formula for the number of different permutations.
  
The process is repeated three times $one for each entry number$.

Total permutations = $10$$10$$10$ = 1000.

***The answer is $D$.***","ME_Exam,Problem_8",,000080.png,,
"A factory employs 100 workers. Their wages vary according to the tasks they perform, as shown.
     no. of workers hourly wage   10 $20.00   10 $40.00  15 $35.00  20 $22.00   20 $25.00  25 $30.00  
The median hourly wage of the workers is most nearly

$A$

$25.00/hr

$B$

$27.50/hr

$C$

$30.00/hr

$D$

$34.75/hr","Arrange the data in either descending or ascending order. The set of data is comprised of 100 workers. Therefore, <em>n</em> = 100. The data in ascending order of wages is shown:
     No. No. of  
workers Wage  
$$/hr$ Cumulative  
frequency Notes  1 10 $20.00 10   2 20 $22.00 10 \+ 20 = 30   3 20 $25.00 30 \+ 20 = 50 50th ordered value  4 25 $30.00 50 \+ 25 = 75 51st ordered value  5 15 $35.00 75 \+ 15 = 90   6 10 $40.00 90 \+ 10 = 100 Total workers, <em>n</em> = 100 
Since <em>n</em> is an even number, consider the two middle values: the 50th value is $25, and the 51st value is $30. The median is the average.
 
***The answer is B.***","ME_Exam,Problem_9",,000528.png,,
