"Front","Back","Tags"
"For a geothermal project, the temperature increases from 20°C at the surface of the earth to 90°C at a depth of 2 km below the ground. Assuming a linear temperature gradient, the underground temperature at 3800 m below the ground surface is most nearly<br><br>$A\$<br><br>113°C<br><br>$B\$<br><br>133°C<br><br>$C\$<br><br>153°C<br><br>$D\$<br><br>173°C","Geothermal energy is generated when water comes into contact with heated underground rocks. The heat turns the water into a steam which can be used to generate power. In this problem, the thermal gradient, <em>m</em>, is constant because the thermal variation along the depth is linear. Calculate the slope, <em>m</em>.<br><img src=""000648.png""> <br>Use the point-slope form of the straight-line equation.<br><img src=""000366.png"">  <img src=""000404.png"">  <br>Therefore, the temperature at a depth of 3800 m can be determined as<br><img src=""000432.png""> <br>**<em>The answer is $C\$.</em>**","ME_Exam,Problem_0"
"A particle moves along a line so that its position at time <em>t</em> is<br><img src=""000795.png"">  <br>The velocity at <em>t</em> = 2.5 s is most nearly<br><br>$A\$<br><br>0.78<br><br>$B\$<br><br>0.84<br><br>$C\$<br><br>0.92<br><br>$D\$<br><br>2.1","The velocity, v, is defined as the distance travelled per unit time.<br><img src=""000534.png"">  <br>Use the <em>NCEES Handbook</em>, Mathematics: Derivatives section. Use the quotient rule.<br><img src=""000359.png""> <br>Let <em>u</em> = <em>t</em>2 \+ 1 and v = <em>t</em> \+ 1.<br><img src=""000165.png""> <br>Substitute these values into the velocity equation.<br><img src=""000313.png""> <br>For <em>t</em> = 2.5 s, find the velocity.<br><img src=""000768.png"">  <br>**<em>The answer is $B\$.</em>**","ME_Exam,Problem_1"
"A differential equation is given.<br><img src=""000568.png""> <br>Its general solution is<br><br>$A\$<br><br><em>y</em> = <em>C</em>1<em>e</em>−2<em>x</em> \+ <em>C</em>2<em>e</em>−<em>x</em><br><br>$B\$<br><br><em>y</em> = <em>C</em>1<em>e</em>2<em>x</em> \+ C2<em>e</em><em>x</em><br><br>$C\$<br><br><em>y</em> = <em>C</em>1<em>e</em><em>i</em>2<em>x</em> \+ <em>C</em>2<em>e</em><em>ix</em><br><br>$D\$<br><br><em>y</em> = <em>e</em><em>x</em> $3 cos <em>x</em> \+ 2 sin <em>x</em>\$","The equation is a second-order linear homogeneous differential equation with constant real coefficients.<br><br>For the form <em>y</em>′′ \+ <em>ay</em>′ \+ <em>b</em> = 0, the general solution is<br><img src=""000405.png"">  <br>Substituting this solution in the equation gives<br><img src=""000647.png""> <br>The roots are <em>r</em>1 = −2 and <em>r</em>2 = −1.<br><br>Since the roots are real, the solution is of the form<br><img src=""000462.png""> <br>Substituting the values of <em>r</em>1 and <em>r</em>2, the solution is<br><img src=""000298.png"">  <br>**<em>The answer is $A\$.</em>**","ME_Exam,Problem_2"
"Two matrices are given.<br><img src=""000511.png""> <br>Matrices <em>A</em> and <em>B</em> are multiplied to obtain a product matrix <em>C</em>. Which statement about the matrix multiplication is true?<br><br>$A\$<br><br>The product matrix <em>C</em> will have two rows and three columns.<br><br>$B\$<br><br>The product matrix <em>C</em> will have three rows and two columns.<br><br>$C\$<br><br>The product matrix <em>C</em> will have three rows and three columns.<br><br>$D\$<br><br>The multiplication is not possible since the matrices <em>A</em> and <em>B</em> do not have the same number of rows and columns.","To multiply two matrices, the number of columns in the first matrix should equal the number of rows in the second matrix. In this case, the condition is satisfied because matrix <em>A</em> has two columns and matrix <em>B</em> has two rows. Therefore, the multiplication of matrices <em>A</em> and <em>B</em> is possible. Option D is incorrect. The product matrix will have as many rows as the first matrix and as many columns as the second matrix. Therefore, the product matrix <em>C</em> will have three rows and three columns.<br><br>**<em>The answer is $C\$.</em>**","ME_Exam,Problem_3"
"Consider the equation <em>x</em>7 − 100 = 0. The zeroth root equals 2. Using Newton’s method of root extraction, what is most nearly the value of <em>x</em> after the second iteration? <br><br>$A\$<br><br>0.1429<br><br>$B\$<br><br>1.9307<br><br>$C\$<br><br>1.9308<br><br>$D\$<br><br>1.9375","See the <em>NCEES Handbook</em>, Mathematics section, for Newton’s method of root extraction. The equation can be simplified as<br><img src=""000057.png""> <br>The initial estimated root value, <em>a</em>0 = 2, is near enough to the actual root that the algorithm would converge.<br><br>*<em>step 1: </em><em><br><br>Find the derivative of the function.<br><img src=""000322.png""> <br>The zero root is given as<br><img src=""000443.png""><br><br></em><em>step 2: </em><em><br><br>Use the zeroth root value and determine the first root.<br><img src=""000305.png""><br><br></em><em>step 3: </em><em><br><br>Use the first root value and determine the second root.<br><img src=""000598.png""><br><br></em>*<em>The answer is $C\$.</em>**","ME_Exam,Problem_4"
"Consider the following program segment.<br>     10 INPUT A  20 B= 1  30 ITER=1  40 ITER=ITER \+ 1  50 C=0.5\*$B\+A/B\$  60 B=C  70 GOTO 40   80 END <br>What is the programing error in the algorithm?<br><br>$A\$<br><br>division by zero<br><br>$B\$<br><br>endless loop<br><br>$C\$<br><br>missing print statement<br><br>$D\$<br><br>both endless loop and missing print statement","The algorithm has an endless loop. It keeps on iterating or looping; it never reaches the END statement. The missing print statement is not considered an error.<br><br>**<em>The answer is $B\$.</em>**","ME_Exam,Problem_5"
"What is the differential ∂<em>z/</em>∂<em>s</em> for <em>z = xy</em> where <em>x = s2 \+ t2</em> and <em>y = s/t</em>?<br><br>$A\$<br><br><img src=""000510.png""><br><br>$B\$<br><br><img src=""000748.png""><br><br>$C\$<br><br><img src=""000755.png""><br><br>$D\$<br><br><img src=""000008.png"">","Use the <em>NCEES Handbook</em>, Mathematics: Partial Derivative section. Use the differential chain rule to determine the differential.<br><img src=""000358.png"">  <br>**<em>The answer is $A\$.</em>**","ME_Exam,Problem_6"
"SCHEDULED: <2024-06-26 Wed><br>:PROPERTIES:<br>:ID:       f348859d-21df-4034-bf58-1e520a1c1120<br>:DRILL_LAST_INTERVAL: 5.0<br>:DRILL_REPEATS_SINCE_FAIL: 1<br>:DRILL_TOTAL_REPEATS: 1<br>:DRILL_FAILURE_COUNT: 0<br>:DRILL_AVERAGE_QUALITY: 0.0<br>:DRILL_EASE: 2.5<br>:DRILL_LAST_QUALITY: 3<br>:DRILL_LAST_REVIEWED: [Y-06-20 Thu 15:%]<br>:END:<br><br>An integral is shown.<br><img src=""000003.png""> <br>What is the value of the integral?<br><br>$A\$<br><br>−21<br><br>$B\$<br><br>−7<br><br>$C\$<br><br>7<br><br>$D\$<br><br>21","Calculate the value of the integral.<br><img src=""000089.png""> <br>**<em>The answer is $A\$.</em>**","ME_Exam,Problem_7"
"A crew of 5 workers is selected from a group of 8 male and 12 female workers. If the crew is made up of 1 man and 4 women, the number of ways the crew can be formed is<br><br>$A\$<br><br>3960<br><br>$B\$<br><br>11,900<br><br>$C\$<br><br>15,500<br><br>$D\$<br><br>95,000","The order in which workers are combined in a crew is not considered in group formation. The combination of <em>n</em> objects taken <em>r</em> at a time is expressed as<br><img src=""000024.png""> <br>In this case one man is selected from 8 men, and 4 women are selected from 12 women. Thus, the number of combinations is<br><img src=""000438.png""> <br>**<em>The answer is $A\$.</em>**","ME_Exam,Problem_8"
"Four concrete specimens are tested. Their strengths are 4450 psi, 4675 psi, 4898 psi, and 4120 psi. The sample standard deviation is most nearly<br><br>$A\$<br><br>290 psi<br><br>$B\$<br><br>330 psi<br><br>$C\$<br><br>83,000 psi<br><br>$D\$<br><br>110,000 psi","Calculate the mean of the strengths.<br><img src=""000203.png""> <br>The sample variance, <em>s</em>2, is calculated as<br><img src=""000406.png"">  <br>Determine the simple standard deviation.<br><img src=""000223.png""> <br>**<em>The answer is $B\$.</em>**","ME_Exam,Problem_9"
